Customer_ID,Expected_Remaining_Lifetime,MonthlyCharges,Expected_Remaining_LTV
9237-HQITU,7.751069336494143,70.7,548.0006020901359
7469-LKBCI,55.22394529236094,18.95,1046.4937632902397
8191-XWSZG,16.327400442300476,20.65,337.1608191335048
8779-QRDMV,27.202775484797055,39.65,1078.5900479722031
1066-JKSGK,43.262725284641036,20.15,871.7439144855168
8773-HHUOZ,11.02108454274791,64.7,713.0641699157899
7310-EGVHZ,52.67095107467177,20.2,1063.9532117083697
3413-BMNZE,34.163600501587034,45.25,1545.9029226968132
6047-YHPVI,7.297734545076595,69.7,508.6520977918387
6572-ADKRS,4.441125346547693,74.8,332.19617592176746
7760-OYPDY,8.419424465763278,80.65,679.0265831638084
2273-QCKXA,28.923926336290805,49.05,1418.7185867950639
6416-JNVRK,20.103747742068876,55.65,1118.773561846133
5919-TMRGD,9.799637331857362,79.35,777.6012222828816
2424-WVHPL,21.58732294820191,74.7,1612.5730242306827
0278-YXOOG,39.95406904871223,21.05,841.0331534753924
3212-KXOCR,19.558457784249065,21.0,410.72761346923033
6380-ARCEH,43.27357988717393,20.2,874.1263137209133
6180-YBIQI,18.0253037966157,24.3,438.0148822577615
8402-OOOHJ,29.89494227543797,20.65,617.330557987794
2928-HLDBA,37.4796086069916,20.7,775.827898164726
3930-ZGWVE,43.175803617038596,19.75,852.7221214365122
8587-XYZSF,4.685022529292108,50.55,236.82788885571605
3091-FYHKI,18.85975578386342,35.45,668.5783425379583
2372-HWUHI,18.521290048811927,44.35,821.419213664809
6217-KDYWC,14.302487287305834,19.6,280.3287508311944
6837-BJYDQ,61.90335897923898,19.6,1213.3058359930842
2135-RXIHG,15.89110241099556,45.65,725.4288250619472
4482-EWFMI,7.60790707754291,69.7,530.2711233047409
3376-BMGFE,16.252239171195477,70.9,1152.2837572377593
5918-VUKWP,36.46490857905172,20.55,749.3538712995129
6582-OIVSP,18.613465917336228,45.3,843.1900060553311
8167-GJLRN,27.52429420893967,30.4,836.7385439517659
0956-SYCWG,51.51469866206204,19.65,1012.263828709519
3645-DEYGF,44.76062462544119,20.75,928.7829609779046
7018-WBJNK,15.955650507306007,78.3,1249.3274347220604
9142-KZXOP,4.513040003444124,68.85,310.72280423712795
1285-OKIPP,14.19921789083463,79.9,1134.517509477687
7841-TZDMQ,29.20756422514043,46.0,1343.5479543564597
4195-NZGTA,18.481513154412227,25.25,466.65820714890873
7157-SMCFK,10.54174518309182,19.75,208.19946736606343
6496-JDSSB,14.73497742154561,80.0,1178.7981937236489
9408-SSNVZ,6.748627860526479,70.15,473.41624441593257
5961-VUSRV,54.78514624292034,19.35,1060.0925798005087
7083-MIOPC,0.0,20.25,0.0
0621-JFHOL,58.487125094848246,29.6,1731.2189028075081
9227-UAQFT,54.58404186205931,19.75,1078.0348267756713
3675-YDUPJ,32.13959497953714,19.85,637.9709603438122
7273-TEFQD,25.997758133063385,41.15,1069.8077471755582
6323-AYBRX,12.437830915163369,19.35,240.6720282084112
